Pokemon,Fast Move,Charged Move,DPS,TDO,DPS^3*TDO,CP,HP,ATT,DEF,STA
Togepi,Hidden Power (Ghost),Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power (Dark),Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power (Steel),Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power,Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power,Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power,Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power,Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power,Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power,Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power,Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power,Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power,Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power,Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power,Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power,Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power,Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power,Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power,Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power,Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Zen Headbutt,Ancient Power,3.618,41.4,2,657,,,,
Togepi,Peck,Ancient Power,3.596,41.2,1.9,657,,,,
Togepi,Hidden Power (Fire),Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power (Fighting),Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power (Water),Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power (Flying),Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power (Grass),Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power (Poison),Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power (Electric),Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power (Ground),Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power (Psychic),Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power (Rock),Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power (Ice),Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power (Bug),Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power (Dragon),Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power (Ghost),Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power (Dark),Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power (Steel),Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power,Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power,Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power,Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power,Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power,Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power,Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power,Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power,Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power,Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power,Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power,Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power,Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power,Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power,Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power,Ancient Power,3.515,40.3,1.7,657,,,,
Togepi,Hidden Power,Ancient Power,3.515,40.3,1.7,657,,,,
Shadow Zubat,Quick Attack,Sludge Bomb,7.62,52.4,23.2,667,,,,
Shadow Zubat,Bite,Sludge Bomb,7.611,52.3,23.1,667,,,,
Shadow Zubat,Bite,Air Cutter,6.023,41.4,9,667,,,,
Shadow Zubat,Bite,Poison Fang,5.908,40.6,8.4,667,,,,
Shadow Zubat,Quick Attack,Air Cutter,5.785,39.7,7.7,667,,,,
Shadow Zubat,Quick Attack,Poison Fang,5.645,38.8,7,667,,,,
Shadow Zubat,Bite,Swift,5.363,36.8,5.7,667,,,,
Shadow Zubat,Quick Attack,Swift,5.034,34.6,4.4,667,,,,
Shadow Zubat,Bite,Frustration,1.702,11.7,0.1,667,,,,
Shadow Zubat,Quick Attack,Frustration,1.702,11.7,0.1,667,,,,
Zubat,Bite,Sludge Bomb,6.319,52.1,13.1,667,,,,
Zubat,Quick Attack,Sludge Bomb,6.303,52,13,667,,,,
Zubat,Bite,Return,5.88,48.5,9.9,667,,,,
Zubat,Quick Attack,Return,5.726,47.2,8.9,667,,,,
Zubat,Bite,Air Cutter,5.059,41.7,5.4,667,,,,
Zubat,Bite,Poison Fang,4.961,40.9,5,667,,,,
Zubat,Quick Attack,Air Cutter,4.822,39.8,4.5,667,,,,
Zubat,Quick Attack,Poison Fang,4.701,38.8,4,667,,,,
Zubat,Bite,Swift,4.537,37.4,3.5,667,,,,
Zubat,Quick Attack,Swift,4.217,34.8,2.6,667,,,,
Cleffa,Pound,Grass Knot,5.446,54,8.7,671,,,,
Cleffa,Pound,Psychic,5.278,52.3,7.7,671,,,,
Cleffa,Zen Headbutt,Grass Knot,5.023,49.8,6.3,671,,,,
Cleffa,Zen Headbutt,Psychic,4.878,48.4,5.6,671,,,,
Cleffa,Pound,Body Slam,4.809,47.7,5.3,671,,,,
Cleffa,Pound,Psyshock,4.764,47.2,5.1,671,,,,
Cleffa,Pound,Signal Beam,4.638,46,4.6,671,,,,
Cleffa,Zen Headbutt,Psyshock,4.497,44.6,4.1,671,,,,
Cleffa,Zen Headbutt,Body Slam,4.465,44.3,3.9,671,,,,
Cleffa,Zen Headbutt,Signal Beam,4.28,42.4,3.3,671,,,,
Whismur,Pound,Stomp,6.976,48.8,16.6,671,,,,
Whismur,Pound,Flamethrower,6.537,45.8,12.8,671,,,,
Whismur,Astonish,Stomp,5.898,41.3,8.5,671,,,,
Whismur,Astonish,Flamethrower,5.58,39.1,6.8,671,,,,
Whismur,Pound,Disarming Voice,4.848,33.9,3.9,671,,,,
Whismur,Astonish,Disarming Voice,4.656,32.6,3.3,671,,,,
Diglett,Mud Slap,Mud Bomb,6.869,36.4,11.8,676,,,,
Diglett,Scratch,Mud Bomb,6.734,35.6,10.9,676,,,,
Diglett,Mud Shot,Mud Bomb,6.647,35.2,10.3,676,,,,
Diglett,Mud Slap,Dig,6.39,33.8,8.8,676,,,,
Diglett,Scratch,Dig,6.248,33.1,8.1,676,,,,
Diglett,Mud Shot,Dig,6.137,32.5,7.5,676,,,,
Diglett,Mud Slap,Rock Tomb,5.73,30.3,5.7,676,,,,
Diglett,Scratch,Rock Tomb,5.507,29.1,4.9,676,,,,
Diglett,Mud Shot,Rock Tomb,5.241,27.7,4,676,,,,
Hoothoot,Peck,Sky Attack,5.557,67.5,11.6,677,,,,
Hoothoot,Feint Attack,Sky Attack,5.488,66.7,11,677,,,,
Hoothoot,Peck,Aerial Ace,4.58,55.6,5.3,677,,,,
Hoothoot,Feint Attack,Aerial Ace,4.532,55.1,5.1,677,,,,
Hoothoot,Peck,Night Shade,3.795,46.1,2.5,677,,,,
Hoothoot,Feint Attack,Night Shade,3.729,45.3,2.3,677,,,,
Poochyena,Snarl,Crunch,6.439,42.8,11.4,678,,,,
Poochyena,Tackle,Crunch,6.343,42.2,10.8,678,,,,
Poochyena,Snarl,Dig,5.293,35.2,5.2,678,,,,
Poochyena,Tackle,Dig,5.163,34.3,4.7,678,,,,
Poochyena,Snarl,Poison Fang,5.027,33.4,4.2,678,,,,
Poochyena,Tackle,Poison Fang,4.834,32.1,3.6,678,,,,
Pidgey,Tackle,Aerial Ace,5.775,47.6,9.2,680,,,,
Pidgey,Quick Attack,Aerial Ace,5.715,47.1,8.8,680,,,,
Pidgey,Tackle,Air Cutter,5.257,43.3,6.3,680,,,,
Pidgey,Quick Attack,Air Cutter,5.162,42.6,5.9,680,,,,
Pidgey,Tackle,Twister,4.083,33.7,2.3,680,,,,
Pidgey,Quick Attack,Twister,3.965,32.7,2,680,,,,
Alolan Diglett,Metal Claw,Mud Bomb,6.923,37.8,12.6,681,,,,
Alolan Diglett,Mud Slap,Mud Bomb,6.807,37.2,11.7,681,,,,
Alolan Diglett,Metal Claw,Dig,6.428,35.1,9.3,681,,,,
Alolan Diglett,Mud Slap,Dig,6.339,34.6,8.8,681,,,,
Alolan Diglett,Mud Slap,Rock Tomb,5.685,31.1,5.7,681,,,,
Alolan Diglett,Metal Claw,Rock Tomb,5.683,31,5.7,681,,,,
Meditite,Confusion,Psyshock,5.405,53.5,8.5,693,,,,
Meditite,Rock Smash,Psyshock,5.231,51.8,7.4,693,,,,
Meditite,Confusion,Ice Punch,4.865,48.2,5.6,693,,,,
Meditite,Confusion,Low Sweep,4.76,47.2,5.1,693,,,,
Meditite,Rock Smash,Ice Punch,4.68,46.4,4.8,693,,,,
Meditite,Rock Smash,Low Sweep,4.582,45.4,4.4,693,,,,
Cottonee,Razor Leaf,Grass Knot,5.619,66.3,11.8,700,,,,
Cottonee,Charm,Grass Knot,5.575,65.8,11.4,700,,,,
Cottonee,Razor Leaf,Seed Bomb,5.154,60.8,8.3,700,,,,
Cottonee,Charm,Seed Bomb,5.111,60.3,8.1,700,,,,
Cottonee,Razor Leaf,Energy Ball,4.822,56.9,6.4,700,,,,
Cottonee,Charm,Energy Ball,4.779,56.4,6.2,700,,,,
Duskull,Hex,Return,4.522,55.5,5.1,706,,,,
Duskull,Astonish,Return,4.378,53.8,4.5,706,,,,
Duskull,Hex,Ominous Wind,4.145,50.9,3.6,706,,,,
Duskull,Astonish,Ominous Wind,4.052,49.8,3.3,706,,,,
Duskull,Hex,Night Shade,3.953,48.6,3,706,,,,
Duskull,Astonish,Night Shade,3.839,47.2,2.7,706,,,,
Duskull,Hex,Shadow Sneak,3.668,45.1,2.2,706,,,,
